t,B1,Bs,Bn,Bj,Bm
0,0,0,0,0,0
0.050251256,1.39E-06,3.71E-06,1.08E-05,0.0000369,0.0001775
0.100502513,5.56E-06,1.48E-05,4.38E-05,0.0001524,0.000824787
0.150753769,1.25E-05,3.37E-05,0.0001002,0.000362111,0.002356277
0.201005025,2.24E-05,6.04E-05,0.0001822,0.000693727,0.005752255
0.251256281,3.50E-05,9.54E-05,0.00029292,0.001191419,0.0131754
0.301507538,5.08E-05,0.000138903,0.00043684,0.001921305,0.029302244
0.351758794,6.94E-05,0.000191829,0.000619522,0.002980181,0.06405519
0.40201005,9.11E-05,0.000254712,0.000848101,0.004508118,0.13774008
0.452261307,0.00011618,0.000328423,0.001131494,0.006706489,0.288808167
0.502512563,0.000144529,0.000413945,0.001480747,0.00986348,0.57863689
0.552763819,0.000176357,0.00051242,0.001909454,0.014389767,1.072222279
0.603015075,0.000211818,0.000625163,0.002434275,0.020867632,1.772459888
0.653266332,0.000251086,0.000753676,0.003075566,0.030117164,2.565743168
0.703517588,0.000294349,0.000899673,0.00385814,0.043282544,3.29058737
0.753768844,0.000341819,0.001065097,0.004812184,0.061938764,3.854562478
0.804020101,0.000393726,0.00125215,0.005974369,0.088212032,4.252216218
0.854271357,0.000450321,0.001463317,0.007389169,0.124892514,4.518197495
0.904522613,0.000511879,0.001701401,0.00911043,0.175492212,4.691522811
0.954773869,0.000578698,0.00196956,0.011203229,0.244163534,4.803077275
1.005025126,0.000651102,0.002271343,0.013746056,0.335357433,4.874461681
1.055276382,0.000729442,0.002610738,0.01683334,0.45310041,4.920019439
1.105527638,0.000814097,0.002992222,0.020578353,0.599870552,4.949058975
1.155778894,0.000905476,0.003420817,0.025116489,0.77529865,4.96755904
1.206030151,0.001004021,0.00390215,0.030608884,0.975229661,4.97934175
1.256281407,0.001110207,0.004442526,0.037246293,1.191779761,4.986845288
1.306532663,0.001224548,0.005048998,0.045253087,1.414648538,4.991623479
1.35678392,0.001347594,0.00572946,0.054891076,1.633236296,4.994666117
1.407035176,0.001479938,0.006492729,0.066462792,1.838649711,4.996603574
1.457286432,0.001622216,0.007348657,0.080313602,2.024856115,4.99783728
1.507537688,0.001775114,0.008308237,0.096831888,2.188832335,4.998622859
1.557788945,0.001939365,0.009383725,0.116446219,2.330026022,4.999123088
1.608040201,0.002115756,0.010588774,0.139618293,2.44956411,4.999441615
1.658291457,0.002305132,0.011938576,0.166830283,2.549515391,4.999644441
1.708542714,0.002508398,0.013450017,0.198565321,2.63233842,4.999773593
1.75879397,0.002726526,0.015141838,0.235280281,2.700526377,4.999855833
1.809045226,0.002960554,0.017034815,0.277370911,2.756408421,4.9999082
1.859296482,0.003211595,0.019151933,0.325130749,2.802057445,4.999941545
1.909547739,0.003480843,0.021518582,0.37870712,2.839262632,4.999962778
1.959798995,0.003769571,0.024162749,0.438059424,2.869537628,4.999976298
2.010050251,0.004079145,0.027115209,0.502926475,2.894145922,4.999984908
2.060301508,0.004411025,0.030409717,0.572809954,2.914132654,4.99999039
2.110552764,0.004766772,0.034083187,0.646979708,2.930356995,4.999993881
2.16080402,0.005148055,0.038175851,0.724503398,2.94352223,4.999996103
2.211055276,0.005556655,0.042731396,0.804298591,2.954202351,4.999997519
2.261306533,0.005994478,0.047797051,0.885200872,2.962864876,4.99999842
2.311557789,0.006463557,0.053423632,0.966038429,2.969890058,4.999998994
2.361809045,0.006966063,0.059665508,1.045702758,2.975586875,4.999999359
2.412060302,0.007504312,0.066580483,1.123206708,2.980206218,4.999999592
2.462311558,0.008080774,0.074229568,1.197724451,2.983951717,4.99999974
2.512562814,0.008698083,0.082676616,1.268611796,2.986988587,4.999999835
2.56281407,0.009359045,0.091987812,1.33540864,2.989450845,4.999999895
2.613065327,0.010066647,0.102230974,1.397827413,2.991447187,4.999999933
2.663316583,0.010824073,0.113474662,1.455732272,2.993065758,4.999999957
2.713567839,0.011634705,0.125787072,1.509113511,2.994378036,4.999999973
2.763819095,0.012502143,0.139234703,1.558060818,2.995441977,4.999999983
2.814070352,0.013430209,0.153880799,1.60273795,2.996304574,4.999999989
2.864321608,0.014422964,0.169783579,1.643360323,2.997003928,4.999999993
2.914572864,0.015484715,0.186994285,1.680176222,2.997570932,4.999999996
2.964824121,0.016620028,0.205555093,1.71345174,2.998030631,4.999999997
3.015075377,0.01783374,0.225496955,1.743459174,2.998403333,4.999999998
3.065326633,0.01913097,0.246837462,1.77046845,2.998705502,4.999999999
3.115577889,0.020517129,0.269578823,1.794741055,2.998950485,4.999999999
3.165829146,0.021997933,0.293706097,1.816525975,2.999149106,5
3.216080402,0.023579409,0.31918578,1.836057188,2.999310137,5
3.266331658,0.025267911,0.345964881,1.853552323,2.999440694,5
3.316582915,0.02707012,0.373970583,1.869212176,2.999546542,5
3.366834171,0.028993058,0.403110577,1.883220822,2.999632359,5
3.417085427,0.031044092,0.433274096,1.895746146,2.999701935,5
3.467336683,0.033230935,0.464333657,1.906940637,2.999758344,5
3.51758794,0.035561651,0.496147447,1.916942334,2.999804077,5
3.567839196,0.038044655,0.528562272,1.925875862,2.999841156,5
3.618090452,0.040688706,0.561416907,1.933853487,2.999871217,5
3.668341709,0.043502905,0.594545705,1.940976164,2.999895589,5
3.718592965,0.046496679,0.627782267,1.947334539,2.999915349,5
3.768844221,0.049679773,0.660963004,1.953009912,2.999931369,5
3.819095477,0.053062224,0.69393043,1.958075126,2.999944357,5
3.869346734,0.056654344,0.726536053,1.962595394,2.999954888,5
3.91959799,0.060466683,0.758642759,1.966629065,2.999963425,5
3.969849246,0.064509996,0.790126655,1.970228312,2.999970347,5
4.020100503,0.068795203,0.820878325,1.973439773,2.999975959,5
4.070351759,0.073333332,0.850803543,1.976305117,2.999980509,5
4.120603015,0.07813547,0.879823472,1.978861567,2.999984197,5
4.170854271,0.083212691,0.907874419,1.981142362,2.999987188,5
4.221105528,0.088575987,0.93490723,1.983177184,2.999989613,5
4.271356784,0.094236184,0.960886393,1.984992526,2.999991578,5
4.32160804,0.100203857,0.985788942,1.986612039,2.999993172,5
4.371859296,0.106489227,1.009603227,1.988056832,2.999994464,5
4.422110553,0.113102062,1.03232762,1.989345741,2.999995512,5
4.472361809,0.120051562,1.053969205,1.990495576,2.999996361,5
4.522613065,0.127346241,1.074542503,1.991521336,2.99999705,5
4.572864322,0.13499381,1.094068256,1.992436405,2.999997608,5
4.623115578,0.143001044,1.112572291,1.993252725,2.999998061,5
4.673366834,0.15137366,1.130084495,1.993980949,2.999998428,5
4.72361809,0.160116185,1.146637879,1.994630582,2.999998725,5
4.773869347,0.169231835,1.162267767,1.995210105,2.999998967,5
4.824120603,0.17872239,1.177011076,1.995727083,2.999999162,5
4.874371859,0.18858808,1.190905705,1.996188266,2.999999321,5
4.924623116,0.198827484,1.203990013,1.996599674,2.999999449,5
4.974874372,0.209437436,1.216302388,1.99696668,2.999999554,5
5.025125628,0.220412945,1.227880883,1.997294075,2.999999638,5
5.075376884,0.231747143,1.238762931,1.997586134,2.999999707,5
5.125628141,0.243431236,1.248985111,1.997846671,2.999999762,5
5.175879397,0.255454495,1.258582967,1.998079089,2.999999807,5
5.226130653,0.267804255,1.26759088,1.998286421,2.999999844,5
5.27638191,0.280465951,1.276041959,1.998471375,2.999999873,5
5.326633166,0.293423172,1.283967987,1.998636367,2.999999897,5
5.376884422,0.306657743,1.291399369,1.998783551,2.999999917,5
5.427135678,0.320149829,1.298365123,1.998914849,2.999999932,5
5.477386935,0.33387807,1.304892872,1.999031976,2.999999945,5
5.527638191,0.34781973,1.311008859,1.999136461,2.999999956,5
5.577889447,0.361950869,1.316737973,1.999229669,2.999999964,5
5.628140704,0.376246531,1.32210378,1.999312817,2.999999971,5
5.67839196,0.390680945,1.32712856,1.99938699,2.999999976,5
5.728643216,0.405227735,1.331833354,1.999453157,2.999999981,5
5.778894472,0.419860137,1.336238011,1.999512183,2.999999984,5
5.829145729,0.434551215,1.340361237,1.999564838,2.999999987,5
5.879396985,0.44927408,1.344220646,1.99961181,2.99999999,5
5.929648241,0.464002093,1.34783281,1.999653712,2.999999992,5
5.979899497,0.478709071,1.351213312,1.999691092,2.999999993,5
6.030150754,0.493369472,1.354376795,1.999724437,2.999999995,5
6.08040201,0.507958567,1.357337014,1.999754182,2.999999996,5
6.130653266,0.522452597,1.36010688,1.999780718,2.999999996,5
6.180904523,0.536828906,1.362698509,1.999804389,2.999999997,5
6.231155779,0.551066062,1.365123268,1.999825506,2.999999998,5
6.281407035,0.565143949,1.367391814,1.999844343,2.999999998,5
6.331658291,0.579043844,1.36951414,1.999861147,2.999999998,5
6.381909548,0.592748476,1.371499611,1.999876137,2.999999999,5
6.432160804,0.606242054,1.373357001,1.99988951,2.999999999,5
6.48241206,0.619510293,1.375094531,1.999901439,2.999999999,5
6.532663317,0.632540411,1.376719902,1.999912081,2.999999999,5
6.582914573,0.645321115,1.378240325,1.999921574,2.999999999,5
6.633165829,0.657842572,1.379662551,1.999930042,3,5
6.683417085,0.670096372,1.380992903,1.999937596,3,5
6.733668342,0.682075476,1.382237299,1.999944335,3,5
6.783919598,0.693774156,1.38340128,1.999950347,3,5
6.834170854,0.705187934,1.384490029,1.99995571,3,5
6.884422111,0.716313507,1.385508399,1.999960494,3,5
6.934673367,0.727148677,1.386460933,1.999964761,3,5
6.984924623,0.737692272,1.387351879,1.999968568,3,5
7.035175879,0.747944069,1.388185215,1.999971964,3,5
7.085427136,0.75790472,1.38896466,1.999974994,3,5
7.135678392,0.767575672,1.389693696,1.999977697,3,5
7.185929648,0.776959092,1.390375579,1.999980107,3,5
7.236180905,0.786057798,1.391013357,1.999982258,3,5
7.286432161,0.794875185,1.391609881,1.999984177,3,5
7.336683417,0.803415162,1.392167816,1.999985888,3,5
7.386934673,0.811682088,1.392689658,1.999987415,3,5
7.43718593,0.819680711,1.39317774,1.999988777,3,5
7.487437186,0.827416113,1.393634246,1.999989992,3,5
7.537688442,0.834893661,1.394061216,1.999991075,3,5
7.587939698,0.842118956,1.394460562,1.999992042,3,5
7.638190955,0.849097789,1.394834069,1.999992905,3,5
7.688442211,0.855836103,1.39518341,1.999993674,3,5
7.738693467,0.862339954,1.395510147,1.999994361,3,5
7.788944724,0.868615477,1.395815743,1.999994973,3,5
7.83919598,0.874668859,1.396101565,1.999995519,3,5
7.889447236,0.880506309,1.396368892,1.999996006,3,5
7.939698492,0.886134034,1.396618922,1.999996441,3,5
7.989949749,0.891558219,1.396852772,1.999996829,3,5
8.040201005,0.896785007,1.39707149,1.999997175,3,5
8.090452261,0.901820483,1.397276056,1.999997483,3,5
8.140703518,0.906670657,1.397467383,1.999997758,3,5
8.190954774,0.911341455,1.39764633,1.999998004,3,5
8.24120603,0.915838706,1.397813697,1.999998223,3,5
8.291457286,0.920168134,1.397970234,1.999998418,3,5
8.341708543,0.924335348,1.398116641,1.999998593,3,5
8.391959799,0.928345839,1.398253574,1.999998748,3,5
8.442211055,0.932204973,1.398381645,1.999998887,3,5
8.492462312,0.935917986,1.398501429,1.999999011,3,5
8.542713568,0.939489985,1.398613462,1.999999121,3,5
8.592964824,0.942925941,1.398718244,1.999999219,3,5
8.64321608,0.946230689,1.398816246,1.999999307,3,5
8.693467337,0.949408931,1.398907906,1.999999386,3,5
8.743718593,0.952465231,1.398993634,1.999999455,3,5
8.793969849,0.955404016,1.399073814,1.999999518,3,5
8.844221106,0.958229581,1.399148806,1.999999573,3,5
8.894472362,0.960946087,1.399218945,1.999999623,3,5
8.944723618,0.963557561,1.399284545,1.999999667,3,5
8.994974874,0.966067903,1.3993459,1.999999707,3,5
9.045226131,0.968480882,1.399403284,1.999999742,3,5
9.095477387,0.970800145,1.399456955,1.999999774,3,5
9.145728643,0.973029213,1.399507152,1.999999802,3,5
9.195979899,0.97517149,1.399554102,1.999999827,3,5
9.246231156,0.977230259,1.399598012,1.999999849,3,5
9.296482412,0.979208693,1.399639082,1.999999869,3,5
9.346733668,0.981109849,1.399677493,1.999999887,3,5
9.396984925,0.982936678,1.399713419,1.999999902,3,5
9.447236181,0.984692025,1.39974702,1.999999916,3,5
9.497487437,0.986378632,1.399778446,1.999999929,3,5
9.547738693,0.987999142,1.399807839,1.99999994,3,5
9.59798995,0.989556102,1.39983533,1.99999995,3,5
9.648241206,0.991051963,1.399861041,1.999999959,3,5
9.698492462,0.99248909,1.399885089,1.999999967,3,5
9.748743719,0.993869755,1.39990758,1.999999974,3,5
9.798994975,0.995196149,1.399928616,1.999999981,3,5
9.849246231,0.99647038,1.399948291,1.999999986,3,5
9.899497487,0.997694476,1.399966693,1.999999991,3,5
9.949748744,0.99887039,1.399983903,1.999999996,3,5
10,1,1.4,2,3,5
